PATTERN	COUNT	TOKENS	COVERAGE	CATEGORY	SIZE	FREQUENCY
gedaen t	27988		55976	0.000749499	ngram	2	0.00055054
: de	27822		55644	0.000745053	ngram	2	0.000547275
ao .	27693		55386	0.000741599	ngram	2	0.000544737
huijden den	26967		53934	0.000722157	ngram	2	0.000530457
V :	26910		53820	0.00072063	ngram	2	0.000529335
ende de	26808		53616	0.000717899	ngram	2	0.000527329
hier toe	26707		53414	0.000715194	ngram	2	0.000525342
ende den	26598		53196	0.000712275	ngram	2	0.000523198
, Ende	25932		51864	0.00069444	ngram	2	0.000510097
Hove van	25430		50860	0.000680997	ngram	2	0.000500223
oprecht gedaen	25409		50818	0.000680435	ngram	2	0.00049981
het selve	25331		50662	0.000678346	ngram	2	0.000498275
: V	25148		50296	0.000673445	ngram	2	0.000494676
de gemelte	25106		50212	0.000672321	ngram	2	0.00049385
by desen	25073		50146	0.000671437	ngram	2	0.0004932
sal werden	24734		49468	0.000662359	ngram	2	0.000486532
van een	24332		48664	0.000651593	ngram	2	0.000478625
goederen ,	23998		47996	0.000642649	ngram	2	0.000472055
te sijn	23732		47464	0.000635526	ngram	2	0.000466822
daer van	23665		47330	0.000633732	ngram	2	0.000465504
dat sij	23647		47294	0.00063325	ngram	2	0.00046515
Alles oprecht	23356		46712	0.000625457	ngram	2	0.000459426
Schaef N.P.	23326		46652	0.000624654	ngram	2	0.000458836
mij Notaris	23225		46450	0.000621949	ngram	2	0.000456849
Op huijden	23178		46356	0.00062069	ngram	2	0.000455925
No :	23093		46186	0.000618414	ngram	2	0.000454253
en een	22966		45932	0.000615013	ngram	2	0.000451755
van sijn	22949		45898	0.000614558	ngram	2	0.00045142
H. Schaef	22829		45658	0.000611344	ngram	2	0.00044906
nabesz .	22692		45384	0.000607675	ngram	2	0.000446365
ten behoeve	22584		45168	0.000604783	ngram	2	0.00044424
, /	22406		44812	0.000600017	ngram	2	0.000440739
te wesen	22343		44686	0.000598329	ngram	2	0.0004395
in dato	22322		44644	0.000597767	ngram	2	0.000439087
des Jaars	22225		44450	0.00059517	ngram	2	0.000437179
bij hem	22204		44408	0.000594607	ngram	2	0.000436766
: Heel	22173		44346	0.000593777	ngram	2	0.000436156
, met	22143		44286	0.000592974	ngram	2	0.000435566
, off	22108		44216	0.000592036	ngram	2	0.000434877
dato den	22030		44060	0.000589948	ngram	2	0.000433343
, ten	22007		44014	0.000589332	ngram	2	0.00043289
van deselve	21649		43298	0.000579745	ngram	2	0.000425848
van hen	21546		43092	0.000576986	ngram	2	0.000423822
presentie vande	21326		42652	0.000571095	ngram	2	0.000419495
Op den	20896		41792	0.00055958	ngram	2	0.000411036
, voor	20868		41736	0.00055883	ngram	2	0.000410486
binnen Amsteldam	20861		41722	0.000558643	ngram	2	0.000410348
Winter N.P.	20827		41654	0.000557732	ngram	2	0.000409679
@ o	20711		41422	0.000554626	ngram	2	0.000407397
den Hove	20636		41272	0.000552617	ngram	2	0.000405922
Compten .	20498		40996	0.000548922	ngram	2	0.000403208
Holland geadmitteert	20449		40898	0.00054761	ngram	2	0.000402244
Amst .	20395		40790	0.000546163	ngram	2	0.000401181
van haer	20341		40682	0.000544717	ngram	2	0.000400119
: van	20303		40606	0.0005437	ngram	2	0.000399372
behoeve van	20261		40522	0.000542575	ngram	2	0.000398546
ende ontfangen	20196		40392	0.000540834	ngram	2	0.000397267
mij Dirck	20090		40180	0.000537996	ngram	2	0.000395182
den selven	20073		40146	0.000537541	ngram	2	0.000394848
Jacob de	19995		39990	0.000535452	ngram	2	0.000393313
is ,	19928		39856	0.000533658	ngram	2	0.000391995
en dat	19690		39380	0.000527284	ngram	2	0.000387314
te Amsteldam	19642		39284	0.000525999	ngram	2	0.00038637
gl .	19638		39276	0.000525892	ngram	2	0.000386291
doen ,	19638		39276	0.000525892	ngram	2	0.000386291
ten behoeven	19625		39250	0.000525543	ngram	2	0.000386035
bij deesen	19593		39186	0.000524686	ngram	2	0.000385406
, van	19475		38950	0.000521526	ngram	2	0.000383085
, tot	19417		38834	0.000519973	ngram	2	0.000381944
ende te	19395		38790	0.000519384	ngram	2	0.000381511
Compareerden voor	19319		38638	0.000517349	ngram	2	0.000380016
werden ,	19308		38616	0.000517054	ngram	2	0.0003798
ende in	18881		37762	0.00050562	ngram	2	0.0003714
Dirck van	18797		37594	0.00050337	ngram	2	0.000369748
vande voorsz	18785		37570	0.000503049	ngram	2	0.000369512
alle de	18753		37506	0.000502192	ngram	2	0.000368882
Notaris te	18700		37400	0.000500773	ngram	2	0.00036784
voorsz :	18672		37344	0.000500023	ngram	2	0.000367289
dat hy	18621		37242	0.000498657	ngram	2	0.000366286
woonende binnen	18606		37212	0.000498255	ngram	2	0.000365991
Amsteldam bij	18562		37124	0.000497077	ngram	2	0.000365125
in den	18542		37084	0.000496541	ngram	2	0.000364732
, bij	18542		37084	0.000496541	ngram	2	0.000364732
behoeven van	18532		37064	0.000496274	ngram	2	0.000364535
alle het	18499		36998	0.00049539	ngram	2	0.000363886
Juffr .	18457		36914	0.000494265	ngram	2	0.00036306
van hem	18435		36870	0.000493676	ngram	2	0.000362627
der Groe	18393		36786	0.000492551	ngram	2	0.000361801
of kinderen	18363		36726	0.000491748	ngram	2	0.000361211
in het	18253		36506	0.000488802	ngram	2	0.000359047
Compe .	18176		36352	0.00048674	ngram	2	0.000357532
Huijden den	18121		36242	0.000485267	ngram	2	0.000356451
doen ende	18023		36046	0.000482643	ngram	2	0.000354523
, onder	17885		35770	0.000478947	ngram	2	0.000351808
Amsteldam in	17875		35750	0.00047868	ngram	2	0.000351612
hij Compt	17848		35696	0.000477957	ngram	2	0.000351081
Gepasseert binnen	17846		35692	0.000477903	ngram	2	0.000351041
voor alle	17679		35358	0.000473431	ngram	2	0.000347756
weduwe van	17615		35230	0.000471717	ngram	2	0.000346497
van haar	17601		35202	0.000471342	ngram	2	0.000346222
als vooren	17571		35142	0.000470539	ngram	2	0.000345632
ondergess .	17557		35114	0.000470164	ngram	2	0.000345356
te kennen	17529		35058	0.000469414	ngram	2	0.000344806
op het	17500		35000	0.000468637	ngram	2	0.000344235
, sonder	17479		34958	0.000468075	ngram	2	0.000343822
en te	17391		34782	0.000465718	ngram	2	0.000342091
t '	17369		34738	0.000465129	ngram	2	0.000341658
mij Hermanus	17359		34718	0.000464862	ngram	2	0.000341462
tot de	17303		34606	0.000463362	ngram	2	0.00034036
dat het	17258		34516	0.000462157	ngram	2	0.000339475
kind of	17135		34270	0.000458863	ngram	2	0.000337055
Hermanus van	17095		34190	0.000457792	ngram	2	0.000336269
, ter	16924		33848	0.000453213	ngram	2	0.000332905
t Amst	16767		33534	0.000449008	ngram	2	0.000329817
deser Steede	16767		33534	0.000449008	ngram	2	0.000329817
hebben ,	16673		33346	0.000446491	ngram	2	0.000327968
desen ,	16670		33340	0.000446411	ngram	2	0.000327909
van Heel	16667		33334	0.00044633	ngram	2	0.00032785
vande nabesz	16554		33108	0.000443304	ngram	2	0.000325627
als de	16520		33040	0.000442394	ngram	2	0.000324958
met den	16275		32550	0.000435833	ngram	2	0.000320139
, op	16220		32440	0.00043436	ngram	2	0.000319057
hiertoe versocht	16125		32250	0.000431816	ngram	2	0.000317188
en getuijgen	16062		32124	0.000430129	ngram	2	0.000315949
op een	16028		32056	0.000429218	ngram	2	0.00031528
Jan van	15891		31782	0.00042555	ngram	2	0.000312585
ende ten	15823		31646	0.000423729	ngram	2	0.000311248
hr .	15814		31628	0.000423488	ngram	2	0.000311071
Heel Notaris	15770		31540	0.000422309	ngram	2	0.000310205
, mitsgaders	15731		31462	0.000421265	ngram	2	0.000309438
en van	15673		31346	0.000419712	ngram	2	0.000308297
Nots :	15631		31262	0.000418587	ngram	2	0.000307471
de opgemelde	15606		31212	0.000417917	ngram	2	0.000306979
te stellen	15600		31200	0.000417757	ngram	2	0.000306861
deser steede	15426		30852	0.000413097	ngram	2	0.000303438
Groe Nots	15352		30704	0.000411116	ngram	2	0.000301983
etc. ende	15345		30690	0.000410928	ngram	2	0.000301845
Amsterdam ter	15337		30674	0.000410714	ngram	2	0.000301688
somma van	15258		30516	0.000408598	ngram	2	0.000300134
Ter presentie	15194		30388	0.000406884	ngram	2	0.000298875
en ten	15139		30278	0.000405412	ngram	2	0.000297793
daer mede	15106		30212	0.000404528	ngram	2	0.000297144
wede .	15041		30082	0.000402787	ngram	2	0.000295865
van allen	14999		29998	0.000401662	ngram	2	0.000295039
groe nots	14955		29910	0.000400484	ngram	2	0.000294174
van die	14836		29672	0.000397297	ngram	2	0.000291833
als in	14835		29670	0.000397271	ngram	2	0.000291813
het geene	14827		29654	0.000397056	ngram	2	0.000291656
Gedaen t	14794		29588	0.000396173	ngram	2	0.000291007
alles te	14794		29588	0.000396173	ngram	2	0.000291007
: in	14737		29474	0.000394646	ngram	2	0.000289885
nae rechte	14666		29332	0.000392745	ngram	2	0.000288489
toe versocht	14619		29238	0.000391486	ngram	2	0.000287564
ende voor	14554		29108	0.000389746	ngram	2	0.000286286
en in	14546		29092	0.000389531	ngram	2	0.000286128
de voorss	14528		29056	0.000389049	ngram	2	0.000285774
ten laste	14448		28896	0.000386907	ngram	2	0.000284201
in sijn	14427		28854	0.000386345	ngram	2	0.000283787
van desen	14400		28800	0.000385622	ngram	2	0.000283256
ende bij	14400		28800	0.000385622	ngram	2	0.000283256
gedaen ende	14379		28758	0.000385059	ngram	2	0.000282843
voor een	14334		28668	0.000383854	ngram	2	0.000281958
den ondergess	14262		28524	0.000381926	ngram	2	0.000280542
de comparant	14238		28476	0.000381283	ngram	2	0.00028007
get :	14209		28418	0.000380507	ngram	2	0.000279499
als mede	14161		28322	0.000379221	ngram	2	0.000278555
als nae	14017		28034	0.000375365	ngram	2	0.000275723
sijn ,	14000		28000	0.00037491	ngram	2	0.000275388
de langstlevende	13974		27948	0.000374214	ngram	2	0.000274877
te laten	13969		27938	0.00037408	ngram	2	0.000274778
van d	13900		27800	0.000372232	ngram	2	0.000273421
onder het	13853		27706	0.000370973	ngram	2	0.000272497
mogen doen	13826		27652	0.00037025	ngram	2	0.000271965
deser Stede	13703		27406	0.000366956	ngram	2	0.000269546
versoecke van	13653		27306	0.000365618	ngram	2	0.000268562
en goederen	13647		27294	0.000365457	ngram	2	0.000268444
hondert guldens	13640		27280	0.000365269	ngram	2	0.000268307
& a	13547		27094	0.000362779	ngram	2	0.000266477
mogen werden	13445		26890	0.000360047	ngram	2	0.000264471
stede ,	13398		26796	0.000358789	ngram	2	0.000263546
Henrick Schaeff	13383		26766	0.000358387	ngram	2	0.000263251
daer op	13361		26722	0.000357798	ngram	2	0.000262819
den eersten	13344		26688	0.000357343	ngram	2	0.000262484
de Heeren	13316		26632	0.000356593	ngram	2	0.000261933
Compt :	13312		26624	0.000356486	ngram	2	0.000261855
Notaris .	13302		26604	0.000356218	ngram	2	0.000261658
de comparanten	13284		26568	0.000355736	ngram	2	0.000261304
voor den	13234		26468	0.000354397	ngram	2	0.00026032
ten versoecke	13123		26246	0.000351425	ngram	2	0.000258137
die hij	13040		26080	0.000349202	ngram	2	0.000256504
, een	12993		25986	0.000347943	ngram	2	0.00025558
comen te	12968		25936	0.000347274	ngram	2	0.000255088
Amstm .	12954		25908	0.000346899	ngram	2	0.000254813
de nabesz	12873		25746	0.00034473	ngram	2	0.000253219
Schaeff Nots	12855		25710	0.000344248	ngram	2	0.000252865
dat sy	12849		25698	0.000344087	ngram	2	0.000252747
Capl .	12844		25688	0.000343953	ngram	2	0.000252649
onder de	12810		25620	0.000343043	ngram	2	0.00025198
mij Jacob	12764		25528	0.000341811	ngram	2	0.000251075
dat den	12593		25186	0.000337231	ngram	2	0.000247712
van Pieter	12580		25160	0.000336883	ngram	2	0.000247456
in praesentie	12523		25046	0.000335357	ngram	2	0.000246335
ende voorts	12518		25036	0.000335223	ngram	2	0.000246236
gepasseert ,	12488		24976	0.00033442	ngram	2	0.000245646
voorn :	12470		24940	0.000333938	ngram	2	0.000245292
als na	12449		24898	0.000333375	ngram	2	0.000244879
ter andere	12444		24888	0.000333241	ngram	2	0.000244781
wel te	12434		24868	0.000332974	ngram	2	0.000244584
ende machtich	12428		24856	0.000332813	ngram	2	0.000244466
sijnde ,	12414		24828	0.000332438	ngram	2	0.000244191
verklaarde de	12410		24820	0.000332331	ngram	2	0.000244112
ende een	12405		24810	0.000332197	ngram	2	0.000244014
over de	12391		24782	0.000331822	ngram	2	0.000243738
, alle	12331		24662	0.000330215	ngram	2	0.000242558
seventien hondert	12307		24614	0.000329573	ngram	2	0.000242086
mij Notario	12296		24592	0.000329278	ngram	2	0.000241869
met het	12263		24526	0.000328394	ngram	2	0.00024122
aen hem	12174		24348	0.000326011	ngram	2	0.00023947
ten lasten	12162		24324	0.00032569	ngram	2	0.000239234
te samen	12105		24210	0.000324163	ngram	2	0.000238112
naam van	12058		24116	0.000322905	ngram	2	0.000237188
soo veel	12036		24072	0.000322315	ngram	2	0.000236755
, om	11908		23816	0.000318888	ngram	2	0.000234237
staende op	11903		23806	0.000318754	ngram	2	0.000234139
't geen	11893		23786	0.000318486	ngram	2	0.000233942
als boven	11872		23744	0.000317924	ngram	2	0.000233529
reqt .	11827		23654	0.000316719	ngram	2	0.000232644
in alle	11812		23624	0.000316317	ngram	2	0.000232349
van hun	11807		23614	0.000316183	ngram	2	0.000232251
ende tot	11789		23578	0.000315701	ngram	2	0.000231896
de naem	11784		23568	0.000315567	ngram	2	0.000231798
1 get	11773		23546	0.000315272	ngram	2	0.000231582
bekent ,	11680		23360	0.000312782	ngram	2	0.000229752
by de	11635		23270	0.000311577	ngram	2	0.000228867
alles oprecht	11602		23204	0.000310693	ngram	2	0.000228218
Sr :	11568		23136	0.000309783	ngram	2	0.000227549
guldens ,	11506		23012	0.000308122	ngram	2	0.00022633
ten huijse	11457		22914	0.00030681	ngram	2	0.000225366
alhier ,	11429		22858	0.00030606	ngram	2	0.000224815
sulx doende	11425		22850	0.000305953	ngram	2	0.000224736
deselve te	11423		22846	0.0003059	ngram	2	0.000224697
hem Compt	11413		22826	0.000305632	ngram	2	0.0002245
ende Jan	11389		22778	0.000304989	ngram	2	0.000224028
de goederen	11376		22752	0.000304641	ngram	2	0.000223773
hy Compt	11345		22690	0.000303811	ngram	2	0.000223163
voor hem	11322		22644	0.000303195	ngram	2	0.00022271
getuijgen .	11315		22630	0.000303008	ngram	2	0.000222573
de naam	11260		22520	0.000301535	ngram	2	0.000221491
de Comparant	11215		22430	0.00030033	ngram	2	0.000220606
: &	11205		22410	0.000300062	ngram	2	0.000220409
sij getuijgen	11203		22406	0.000300008	ngram	2	0.00022037
en bij	11171		22342	0.000299151	ngram	2	0.00021974
de selve	11132		22264	0.000298107	ngram	2	0.000218973
, door	11109		22218	0.000297491	ngram	2	0.00021852
daar op	11091		22182	0.000297009	ngram	2	0.000218166
van Jacob	11077		22154	0.000296634	ngram	2	0.000217891
dat zij	11047		22094	0.000295831	ngram	2	0.000217301
tot het	11039		22078	0.000295616	ngram	2	0.000217144
aen den	11036		22072	0.000295536	ngram	2	0.000217085
mij Nots	11033		22066	0.000295456	ngram	2	0.000217026
alle deselve	11032		22064	0.000295429	ngram	2	0.000217006
laste van	11014		22028	0.000294947	ngram	2	0.000216652
de voornoemde	10997		21994	0.000294492	ngram	2	0.000216317
naem van	10977		21954	0.000293956	ngram	2	0.000215924
Een dito	10933		21866	0.000292778	ngram	2	0.000215058
& in	10897		21794	0.000291814	ngram	2	0.00021435
op te	10873		21746	0.000291171	ngram	2	0.000213878
, daer	10863		21726	0.000290903	ngram	2	0.000213682
niet en	10859		21718	0.000290796	ngram	2	0.000213603
op ende	10848		21696	0.000290502	ngram	2	0.000213386
get. hiertoe	10830		21660	0.00029002	ngram	2	0.000213032
acte van	10797		21594	0.000289136	ngram	2	0.000212383
van dato	10793		21586	0.000289029	ngram	2	0.000212305
onder verband	10772		21544	0.000288466	ngram	2	0.000211891
vorderen ende	10755		21510	0.000288011	ngram	2	0.000211557
binnen Amstelredamme	10746		21492	0.00028777	ngram	2	0.00021138
te geven	10676		21352	0.000285896	ngram	2	0.000210003
als dan	10643		21286	0.000285012	ngram	2	0.000209354
het voorsz	10605		21210	0.000283994	ngram	2	0.000208607
mij Henrick	10589		21178	0.000283566	ngram	2	0.000208292
van wijlen	10577		21154	0.000283244	ngram	2	0.000208056
ende rechteren	10558		21116	0.000282736	ngram	2	0.000207682
lasten van	10538		21076	0.0002822	ngram	2	0.000207289
een somme	10534		21068	0.000282093	ngram	2	0.00020721
mij nots	10499		20998	0.000281156	ngram	2	0.000206521
in een	10467		20934	0.000280299	ngram	2	0.000205892
gedateert den	10409		20818	0.000278746	ngram	2	0.000204751
te werden	10343		20686	0.000276978	ngram	2	0.000203453
door hem	10251		20502	0.000274514	ngram	2	0.000201643
als naar	10232		20464	0.000274006	ngram	2	0.000201269
kinderen van	10218		20436	0.000273631	ngram	2	0.000200994
te betalen	10210		20420	0.000273416	ngram	2	0.000200837
ende goederen	10184		20368	0.00027272	ngram	2	0.000200325
Op Huijden	10157		20314	0.000271997	ngram	2	0.000199794
daer aen	10130		20260	0.000271274	ngram	2	0.000199263
soo wel	10107		20214	0.000270658	ngram	2	0.000198811
staande op	10106		20212	0.000270631	ngram	2	0.000198791
noch te	10090		20180	0.000270203	ngram	2	0.000198476
, deselve	10027		20054	0.000268516	ngram	2	0.000197237
gel .	10003		20006	0.000267873	ngram	2	0.000196765
Jaars seventien	9928		19856	0.000265865	ngram	2	0.00019529
a :	9882		19764	0.000264633	ngram	2	0.000194385
moeten werden	9862		19724	0.000264097	ngram	2	0.000193991
, ofte	9859		19718	0.000264017	ngram	2	0.000193932
hy get	9817		19634	0.000262892	ngram	2	0.000193106
het schip	9803		19606	0.000262517	ngram	2	0.000192831
vander Groe	9731		19462	0.000260589	ngram	2	0.000191414
deser stad	9731		19462	0.000260589	ngram	2	0.000191414
, of	9713		19426	0.000260107	ngram	2	0.00019106
aen haer	9712		19424	0.00026008	ngram	2	0.000191041
die sij	9708		19416	0.000259973	ngram	2	0.000190962
toe ,	9702		19404	0.000259813	ngram	2	0.000190844
, aen	9701		19402	0.000259786	ngram	2	0.000190824
van des	9688		19376	0.000259438	ngram	2	0.000190569
schip de	9659		19318	0.000258661	ngram	2	0.000189998
de eerste	9637		19274	0.000258072	ngram	2	0.000189565
waer is	9608		19216	0.000257295	ngram	2	0.000188995
de Comparanten	9603		19206	0.000257161	ngram	2	0.000188897
alle andere	9598		19196	0.000257028	ngram	2	0.000188798
van drie	9596		19192	0.000256974	ngram	2	0.000188759
dat deselve	9551		19102	0.000255769	ngram	2	0.000187874
rechten ende	9547		19094	0.000255662	ngram	2	0.000187795
subjectie als	9485		18970	0.000254001	ngram	2	0.000186575
de Jonge	9480		18960	0.000253868	ngram	2	0.000186477
, waar	9433		18866	0.000252609	ngram	2	0.000185553
en voor	9412		18824	0.000252047	ngram	2	0.000185139
daar van	9386		18772	0.00025135	ngram	2	0.000184628
volgens de	9278		18556	0.000248458	ngram	2	0.000182504
in plaetse	9230		18460	0.000247173	ngram	2	0.000181559
ende soo	9216		18432	0.000246798	ngram	2	0.000181284
ende daer	9203		18406	0.00024645	ngram	2	0.000181028
van twee	9174		18348	0.000245673	ngram	2	0.000180458
en andere	9097		18194	0.000243611	ngram	2	0.000178943
ende was	9096		18192	0.000243584	ngram	2	0.000178924
te houden	9083		18166	0.000243236	ngram	2	0.000178668
bet .	9081		18162	0.000243183	ngram	2	0.000178629
kinderen ,	9075		18150	0.000243022	ngram	2	0.000178511
d'hr .	9072		18144	0.000242942	ngram	2	0.000178452
sal moeten	9062		18124	0.000242674	ngram	2	0.000178255
de Notaris	9038		18076	0.000242031	ngram	2	0.000177783
, dewelke	8975		17950	0.000240344	ngram	2	0.000176543
allen rechten	8975		17950	0.000240344	ngram	2	0.000176543
, den	8973		17946	0.00024029	ngram	2	0.000176504
Notaris bekend	8967		17934	0.00024013	ngram	2	0.000176386
Zalr .	8964		17928	0.000240049	ngram	2	0.000176327
wille ,	8930		17860	0.000239139	ngram	2	0.000175658
10 :	8891		17782	0.000238095	ngram	2	0.000174891
sa :	8873		17746	0.000237613	ngram	2	0.000174537
2 get	8868		17736	0.000237479	ngram	2	0.000174439
voors .	8849		17698	0.00023697	ngram	2	0.000174065
vander groe	8841		17682	0.000236756	ngram	2	0.000173908
ende noch	8831		17662	0.000236488	ngram	2	0.000173711
D :	8822		17644	0.000236247	ngram	2	0.000173534
en Jan	8816		17632	0.000236086	ngram	2	0.000173416
t Amsterdam	8775		17550	0.000234988	ngram	2	0.000172609
Comp .	8762		17524	0.00023464	ngram	2	0.000172354
In den	8748		17496	0.000234265	ngram	2	0.000172078
goederen als	8741		17482	0.000234078	ngram	2	0.000171941
wille ende	8740		17480	0.000234051	ngram	2	0.000171921
hoe waer	8740		17480	0.000234051	ngram	2	0.000171921
dat alle	8734		17468	0.00023389	ngram	2	0.000171803
: -	8710		17420	0.000233248	ngram	2	0.000171331
, Item	8692		17384	0.000232766	ngram	2	0.000170977
xviC .	8689		17378	0.000232685	ngram	2	0.000170918
doende bij	8664		17328	0.000232016	ngram	2	0.000170426
op en	8639		17278	0.000231346	ngram	2	0.000169934
Coopman binnen	8604		17208	0.000230409	ngram	2	0.000169246
daer toe	8600		17200	0.000230302	ngram	2	0.000169167
des doots	8598		17196	0.000230248	ngram	2	0.000169128
ende andere	8595		17190	0.000230168	ngram	2	0.000169069
te verdienen	8568		17136	0.000229445	ngram	2	0.000168538
En verklaarde	8540		17080	0.000228695	ngram	2	0.000167987
ende die	8539		17078	0.000228668	ngram	2	0.000167967
sonder dat	8511		17022	0.000227918	ngram	2	0.000167416
voornt .	8509		17018	0.000227865	ngram	2	0.000167377
is dat	8498		16996	0.00022757	ngram	2	0.000167161
hebben ende	8488		16976	0.000227303	ngram	2	0.000166964
Ende heeft	8488		16976	0.000227303	ngram	2	0.000166964
ten Comptoire	8477		16954	0.000227008	ngram	2	0.000166748
mede te	8464		16928	0.00022666	ngram	2	0.000166492
Jaren ,	8463		16926	0.000226633	ngram	2	0.000166472
van Sr.	8446		16892	0.000226178	ngram	2	0.000166138
& a.	8427		16854	0.000225669	ngram	2	0.000165764
Winter binnen	8411		16822	0.000225241	ngram	2	0.000165449
nabesz :	8399		16798	0.000224919	ngram	2	0.000165213
hier overgestaen	8397		16794	0.000224866	ngram	2	0.000165174
wel ende	8396		16792	0.000224839	ngram	2	0.000165154
- :	8368		16736	0.000224089	ngram	2	0.000164603
voor my	8359		16718	0.000223848	ngram	2	0.000164426
aan hem	8340		16680	0.000223339	ngram	2	0.000164053
hem Comparant	8337		16674	0.000223259	ngram	2	0.000163994
was ,	8314		16628	0.000222643	ngram	2	0.000163541
desen aen	8311		16622	0.000222563	ngram	2	0.000163482
huijse van	8287		16574	0.00022192	ngram	2	0.00016301
als hij	8287		16574	0.00022192	ngram	2	0.00016301
doen houden	8255		16510	0.000221063	ngram	2	0.000162381
allen tijde	8253		16506	0.000221009	ngram	2	0.000162341
onder den	8248		16496	0.000220876	ngram	2	0.000162243
sonder eenige	8236		16472	0.000220554	ngram	2	0.000162007
aan haar	8223		16446	0.000220206	ngram	2	0.000161751
