HTR: NOTI01181/NOTI01181000019.xml#r3l2         | buker
GT : 12788_NOTI01181/NOTI01181000019.xml#r1l21  | Klinkerts) en C:s: proc,

HTR: NOTI01181/NOTI01181000019.xml#r1l25        | van Jan Vrijthof (Aaltje Klinckerts) en Cos: proc
GT : 12788_NOTI01181/NOTI01181000019.xml#r1l22  | van Jan Vrijthof (Aaltje

HTR: NOTI01181/NOTI01181000019.xml#r1l26        | 26 Octob: Wed
GT : 12788_NOTI01181/NOTI01181000019.xml#r1l23  | 26 Octob:

HTR: NOTI01181/NOTI01181000019.xml#r1l26        | 26 Octob: Wed
GT : 12788_NOTI01181/NOTI01181000019.xml#r1l24  | Wed

HTR: NOTI01181/NOTI01181000019.xml#r1l28        | Wede van Hendrik de Wit (Geertruijd Klinckerts) en Cs.
GT : 12788_NOTI01181/NOTI01181000019.xml#r1l26  | Wede. van Hendrik de Wit (Geertruijd Klinckerts) en C:s:

HTR: NOTI01181/NOTI01181000019.xml#r1l31        | wede: van Dirk Bruijnenbeek (Johanna Hamelau) qq en Cis:
GT : 12788_NOTI01181/NOTI01181000019.xml#r1l29  | Wede: van Dirk Bruijnenbeek (Johanna Hamelau) qq en C:s:

HTR: NOTI01181/NOTI01181000019.xml#r1l41        | 24 novemb: Weduwe van Jelles Kerkhooven (Anna Vehof) verklaaring
GT : 12788_NOTI01181/NOTI01181000019.xml#r1l39  | 24 novemb: Weduwe van Jelles Kerkhooven (Anna Verhof) verklaaring

HTR: NOTI01181/NOTI01181000019.xml#r1l44        | huijsvrouw van Pieter Moessijn en Cons
GT : 12788_NOTI01181/NOTI01181000019.xml#r1l41  | huijsvrouw van Pieter Moessijn en Consn

HTR: NOTI01181/NOTI01181000019.xml#r1l46        | van Quitantie ten haaren behoeve van Pieter Dec¬
GT : 12788_NOTI01181/NOTI01181000019.xml#r1l43  | van Quitantie ten haaren behoeve van Pieter Dec

HTR: NOTI01181/NOTI01181000019.xml#r1l50        | Weduwe van Jan Faaring (Lysbeth Veerschuijt) en Pieter Veerschuijs
GT : 12788_NOTI01181/NOTI01181000019.xml#r1l46  | Weduwe van Jan Faaring (Lysbeth Veerschuijt) en Pieter Veerschuijt

HTR: NOTI01181/NOTI01181000019.xml#r1l55        | e Decemb: Weduwe van Bernardus van Haagen (Debora Borst) procu¬
GT : 12788_NOTI01181/NOTI01181000019.xml#r1l52  | 11 Decemb: Weduwe van Bernardus van Haagen (Debora Borst) procu

HTR: NOTI01181/NOTI01181000019.xml#r1l57        | 21 Decemb: Weduwe van Jacobus Dankbaar (Elsje van Offelen) procu¬
GT : 12788_NOTI01181/NOTI01181000019.xml#r1l54  | 21 Decemb: Weduwe van Jacobus Dankbaar (Elsje van Offelen) procu

HTR: NOTI01181/NOTI01181000019.xml#r1l60        | 531 Dec: Weduwe van Adriaan Noorwijk dog eerder wede. van
GT : 12788_NOTI01181/NOTI01181000019.xml#r1l56  | 31 Dec: Weduwe van Adriaan Noordwijk dog eerder wede, van

HTR: NOTI01181/NOTI01181000020.xml#r3l1         | Compareerden &
GT : 12788_NOTI01181/NOTI01181000020.xml#r3l1   | Compareerden &c

HTR: NOTI01181/NOTI01181000020.xml#r3l4         | en de Heer Anthonij Wage
GT : 12788_NOTI01181/NOTI01181000020.xml#r3l4   | en de Heer Anthonij Wage¬

HTR: NOTI01181/NOTI01181000020.xml#r3l6         | op den 19 en 24 Maart des Jaars 1744 voor de
GT : 12788_NOTI01181/NOTI01181000020.xml#r3l6   | op den 19 en 24 April des Jaars 1744 voor de

HTR: NOTI01181/NOTI01181000020.xml#r3l8         | dese stad gepasseert gemachtigde van Johan¬
GT : 12788_NOTI01181/NOTI01181000020.xml#r3l8   | dese Stad gepasseert gemachtigde van Johan¬

HTR: NOTI01181/NOTI01181000020.xml#r3l10        | genaame van Jacob van Overwijk, volgens
GT : 12788_NOTI01181/NOTI01181000020.xml#r3l10  | genaame van Jacob van Overwijk volgens

HTR: NOTI01181/NOTI01181000020.xml#r3l13        | 3
GT : 12788_NOTI01181/NOTI01181000020.xml#r3l13  | 3/16

HTR: NOTI01181/NOTI01181000020.xml#r3l14        | gen binnen dese stad gepasseert, voor
GT : 12788_NOTI01181/NOTI01181000020.xml#r3l14  | gen binnen dese Stad gepasseert, voor

HTR: NOTI01181/NOTI01181000020.xml#r3l31        | honij wagener in zijn voorsz. quali¬
GT : 12788_NOTI01181/NOTI01181000020.xml#r3l30  | honij Wagener in Zijn voorsz. quali¬

HTR: NOTI01181/NOTI01181000020.xml#r3l38        | En dus te samen voor het geheel Reeders
GT : 12788_NOTI01181/NOTI01181000020.xml#r3l37  | Er dus te samen voor het geheel Reeders

HTR: NOTI01181/NOTI01181000020.xml#r3l43        | die aan mij Notaris bekend zijn)
GT : 12788_NOTI01181/NOTI01181000020.xml#r3l42  | (die aan mij Notaris bekend zijn)

HTR: NOTI01181/NOTI01181000020.xml#r3l44        | binnen dese stad
GT : 12788_NOTI01181/NOTI01181000020.xml#r3l43  | binnen dese Stad.

HTR: NOTI01181/NOTI01181000020.xml#r3l45        | Te kennen gevende dat zij Comparan¬
GT : 12788_NOTI01181/NOTI01181000020.xml#r3l44  | Te kennen gevende dat Zij Comparan¬

HTR: NOTI01181/NOTI01181000020.xml#r3l48        | en getuijgen binnen dese stadt hebben aan¬
GT : 12788_NOTI01181/NOTI01181000020.xml#r3l47  | en getuijgen binnen dese Stadt hebben aan¬

HTR: NOTI01181/NOTI01181000020.xml#r3l49        | gegaan en gepasseert seekere acte van
GT : 12788_NOTI01181/NOTI01181000020.xml#r3l48  | gegaan en gepasseert Seekere acte van

HTR: NOTI01181/NOTI01181000020.xml#r3l50        | accord of transactie en compromis,
GT : 12788_NOTI01181/NOTI01181000020.xml#r3l49  | accord of transactie en Compromis,

HTR: NOTI01181/NOTI01181000020.xml#r2l1         | 4 Maart 1745
GT : 12788_NOTI01181/NOTI01181000020.xml#r2l1   | 1 Maart 1745

HTR: NOTI01181/NOTI01181000020.xml#r2l2         | No. 1
GT : 12788_NOTI01181/NOTI01181000020.xml#r2l2   | No.1

HTR: NOTI01181/NOTI01181000020.xml#r1l2         | seventien hondert vijf en veertig
GT : 12788_NOTI01181/NOTI01181000020.xml#r1l2   | Seventien hondert vijf en veertig

HTR: NOTI01181/NOTI01181000020.xml#r1l6         | land geadmitteert
GT : 12788_NOTI01181/NOTI01181000020.xml#r1l6   | land geadmitteert.

HTR: NOTI01181/NOTI01181000021.xml#r2l2         | bovengemelde Compromis invoegen als boo¬
GT : 12788_NOTI01181/NOTI01181000021.xml#r2l2   | bovengemelde compromis invoegen als boo¬

HTR: NOTI01181/NOTI01181000021.xml#r2l3         | ven zijn betaalt weder zal restitueeren een
GT : 12788_NOTI01181/NOTI01181000021.xml#r2l3   | ven zijn betaalt weder zal resitutueeren een

HTR: NOTI01181/NOTI01181000021.xml#r2l13        | melde vonnis, reglement of despacte van
GT : 12788_NOTI01181/NOTI01181000021.xml#r2l13  | melde vonnis, reglement of despache van

HTR: NOTI01181/NOTI01181000021.xml#r2l20        | de volgens het zelve vonnis of despac¬
GT : 12788_NOTI01181/NOTI01181000021.xml#r2l19  | ter zijde volgens het zelve vonnis of despac¬

HTR: NOTI01181/NOTI01181000021.xml#r2l21        | he competeert
GT : 12788_NOTI01181/NOTI01181000021.xml#r2l20  | he competeert.

HTR: NOTI01181/NOTI01181000021.xml#r2l22        | En dat daar meede alsdan eens voor
GT : 12788_NOTI01181/NOTI01181000021.xml#r2l21  | En dat daar meede als dan eens voor

HTR: NOTI01181/NOTI01181000021.xml#r2l30        | der mitsdien fniaal en absolut quiteerende
GT : 12788_NOTI01181/NOTI01181000021.xml#r2l29  | der mitsdien finaal en absolut quiteerende

HTR: NOTI01181/NOTI01181000021.xml#r2l31        | sonder dat de een ten lasten van den ander des
GT : 12788_NOTI01181/NOTI01181000021.xml#r2l30  | sonder dat de een ten lasten van den ander des¬

HTR: NOTI01181/NOTI01181000021.xml#r2l32        | wegens eenige de allerminste prætensien hoe¬
GT : 12788_NOTI01181/NOTI01181000021.xml#r2l31  | wegens eenige de allerminste prætensien hoe

HTR: NOTI01181/NOTI01181000021.xml#r2l40        | alle andere hulpmiddelen van rechten, die
GT : 12788_NOTI01181/NOTI01181000021.xml#r2l39  | alle andere hulpmiddelen van rechters, die

HTR: NOTI01181/NOTI01181000021.xml#r2l41        | hen Heeren comparanten of een ieder van
GT : 12788_NOTI01181/NOTI01181000021.xml#r2l40  | hen Heeren Comparanten of een ieder van

HTR: NOTI01181/NOTI01181000021.xml#r2l45        | behelpen
GT : 12788_NOTI01181/NOTI01181000021.xml#r2l44  | behelpen.

HTR: NOTI01181/NOTI01181000021.xml#r2l46        | Tot nakoming en preestatie deses ver¬
GT : 12788_NOTI01181/NOTI01181000021.xml#r2l45  | Tot nakoming en præstatie deses ver¬

HTR: NOTI01181/NOTI01181000021.xml#r2l48        | weeten de Heer Eerste Comparant zijn pur¬
GT : 12788_NOTI01181/NOTI01181000021.xml#r2l47  | weeten de Heer Eerste comparant zijn par¬

HTR: NOTI01181/NOTI01181000021.xml#r1l2         | parant ter eerster aan den comparant ter
GT : 12788_NOTI01181/NOTI01181000021.xml#r1l2   | parant ter eerster aan den Comparant ter

HTR: NOTI01181/NOTI01181000021.xml#r1l5         | heeft betaalt een summa van drie duijsend
GT : 12788_NOTI01181/NOTI01181000021.xml#r1l4   | zijn

HTR: NOTI01181/NOTI01181000021.xml#r1l7         | het voornoemde schip, welke de comparant
GT : 12788_NOTI01181/NOTI01181000021.xml#r1l7   | het voornoemde schip, welke de Comparant

HTR: NOTI01181/NOTI01181000021.xml#r1l10        | van huur of Chertepartij (bij de voorsz. acte
GT : 12788_NOTI01181/NOTI01181000021.xml#r1l10  | van huur of chertepartij (bij de voorsz: acte

HTR: NOTI01181/NOTI01181000021.xml#r1l12        | van den Comparant ter eerster zijde sustineer
GT : 12788_NOTI01181/NOTI01181000021.xml#r1l12  | van den comparant ter eerster zijde sustineer¬

HTR: NOTI01181/NOTI01181000021.xml#r1l14        | bepaaling en tot sodanige eijndens als breeden
GT : 12788_NOTI01181/NOTI01181000021.xml#r1l14  | bepaaling en tot sodanige eijndens als breeder

HTR: NOTI01181/NOTI01181000021.xml#r1l16        | transactie is ter needergesteldt
GT : 12788_NOTI01181/NOTI01181000021.xml#r1l16  | transactie is ter needergesteldt.

HTR: NOTI01181/NOTI01181000021.xml#r1l17        | Dat verder door of van weegen den com¬
GT : 12788_NOTI01181/NOTI01181000021.xml#r1l17  | Dat verder door of van weegens den com¬

HTR: NOTI01181/NOTI01181000021.xml#r1l18        | parant ter tweeder zijde qq al meede ingevolg
GT : 12788_NOTI01181/NOTI01181000021.xml#r1l18  | parant ter tweeder zijde qq al meede ingevolge

HTR: NOTI01181/NOTI01181000021.xml#r1l20        | overstaan van d' Ede. Heeren Commissarissen
GT : 12788_NOTI01181/NOTI01181000021.xml#r1l20  | overstaan van d' Ed. Heeren Commissarissen

HTR: NOTI01181/NOTI01181000021.xml#r1l23        | rije Grosse op de voijagie (breeder bij de voorsz
GT : 12788_NOTI01181/NOTI01181000021.xml#r1l23  | rije Grosse op de voijagie (breeder bij de voorsz.

HTR: NOTI01181/NOTI01181000021.xml#r1l28        | 1745 is gereguleert
GT : 12788_NOTI01181/NOTI01181000021.xml#r1l28  | 1745 is gereguleert.

HTR: NOTI01181/NOTI01181000021.xml#r1l29        | Dat daar op de comparanten wederzeijd
GT : 12788_NOTI01181/NOTI01181000021.xml#r1l29  | Dat daar op de comparanten wederzeijds

HTR: NOTI01181/NOTI01181000021.xml#r1l34        | met de gevolgen en aan kleeven van dien tus
GT : 12788_NOTI01181/NOTI01181000021.xml#r1l34  | met de gevolgen en aan Kleeven van dien tus¬

HTR: NOTI01181/NOTI01181000021.xml#r1l38        | dan het oordeel en uijtspraak van Arbiteren
GT : 12788_NOTI01181/NOTI01181000021.xml#r1l38  | aan het oordeel en uijtspraak van Arbiteren

HTR: NOTI01181/NOTI01181000021.xml#r1l46        | comparant ter eerster zijde aan den Heer
GT : 12788_NOTI01181/NOTI01181000021.xml#r1l46  | Comparant ter eerster zijde aan den Heer

HTR: NOTI01181/NOTI01181000022.xml#r1l1         | Comparant ter tweeder zijde de respective
GT : 12788_NOTI01181/NOTI01181000022.xml#r1l1   | Comparant ter tweeder Zijde de respective

HTR: NOTI01181/NOTI01181000022.xml#r1l2         | persoonen en goederen van zyne bovengemelde
GT : 12788_NOTI01181/NOTI01181000022.xml#r1l2   | persoonen en goederen van Zyne bovengemelde

HTR: NOTI01181/NOTI01181000022.xml#r1l3         | principaalen, als na Rechten
GT : 12788_NOTI01181/NOTI01181000022.xml#r1l3   | principaalen, als na Rechten.

HTR: NOTI01181/NOTI01181000022.xml#r1l4         | Gepasseert in Amsteldam in præesentie van
GT : 12788_NOTI01181/NOTI01181000022.xml#r1l4   | Gepasseert in Amsteldam in præsentie van

HTR: NOTI01181/NOTI01181000022.xml#r1l6         | rius als getujgen
GT : 12788_NOTI01181/NOTI01181000022.xml#r1l6   | rius als getuygen

HTR: NOTI01181/NOTI01181000022.xml#r1l9         | Wm Deckr Juior
GT : 12788_NOTI01181/NOTI01181000022.xml#r1l9   | Wm

HTR: NOTI01181/NOTI01181000022.xml#r1l9         | Wm Deckr Juior
GT : 12788_NOTI01181/NOTI01181000022.xml#r1l11  | Decker Junior

HTR: NOTI01181/NOTI01181000023.xml#r2l2         | de Huijbert
GT : 12788_NOTI01181/NOTI01181000023.xml#r2l2   | de Huybert

HTR: NOTI01181/NOTI01181000023.xml#r2l10        | inder tijd van Hendrik Metelercamp bij testament
GT : 12788_NOTI01181/NOTI01181000023.xml#r2l10  | in der tijd van Hendrik Metelercamp bij testament,

HTR: NOTI01181/NOTI01181000023.xml#r2l13        | deese stadt gepasseert, aangestelt zijnde beneevend
GT : 12788_NOTI01181/NOTI01181000023.xml#r2l13  | deese Stadt gepasseert, aangestelt Zijnde beneevens

HTR: NOTI01181/NOTI01181000023.xml#r2l15        | predikant te zeijst & aldaar op den 13e Januarii des
GT : 12788_NOTI01181/NOTI01181000023.xml#r2l15  | predikant te Zeijst & aldaar op den 13e= Januarii des

HTR: NOTI01181/NOTI01181000023.xml#r2l17        | overleeden, naa dat hij selvs te vooren door d' Ede. Achtb.
GT : 12788_NOTI01181/NOTI01181000023.xml#r2l17  | overleeden, naa dat hij Selvs te vooren door d' Ede. Achtb.

HTR: NOTI01181/NOTI01181000023.xml#r2l19        | 2 April Ao. 1733 van de Commissie was geexcuseert,
GT : 12788_NOTI01181/NOTI01181000023.xml#r2l19  | 2 April Ao 1733 van de Commissie was geexcuseert,

HTR: NOTI01181/NOTI01181000023.xml#r2l23        | plaaten & breeder gespecificeert bij d'acte van scheijding
GT : 12788_NOTI01181/NOTI01181000023.xml#r2l23  | laaten & breeder gespecificeert bij d'acte van Scheijding

HTR: NOTI01181/NOTI01181000023.xml#r2l24        | van haare naalaatenschap, op den 17ens= September des
GT : 12788_NOTI01181/NOTI01181000023.xml#r2l24  | van haare naalaatenschap, op den 17en= September des

HTR: NOTI01181/NOTI01181000023.xml#r2l28        | gepasseert
GT : 12788_NOTI01181/NOTI01181000023.xml#r2l28  | gepasseert;

HTR: NOTI01181/NOTI01181000023.xml#r2l30        | bekent is) binnen deese stadt,
GT : 12788_NOTI01181/NOTI01181000023.xml#r2l30  | bekent is) binnen deese Stadt,

HTR: NOTI01181/NOTI01181000023.xml#r2l31        | ende verklaarde hij comparant, uit kragt vande
GT : 12788_NOTI01181/NOTI01181000023.xml#r2l31  | ende verklaarde hij Comparant, uit kragt van de

HTR: NOTI01181/NOTI01181000023.xml#r2l38        | Procureur & Notaris binnen deese stadt, (welke
GT : 12788_NOTI01181/NOTI01181000023.xml#r2l38  | Procureur & Notaris binnen deese Stadt, (Welke

HTR: NOTI01181/NOTI01181000023.xml#r2l39        | hij Comparant, reets in het Voorleedene Jaar daartoe
GT : 12788_NOTI01181/NOTI01181000023.xml#r2l39  | bij Comparant, reets in het Voorleedene Jaar daartoe

HTR: NOTI01181/NOTI01181000023.xml#r2l42        | hem daar toe soodaanige ampele magt en Vermoogen
GT : 12788_NOTI01181/NOTI01181000023.xml#r2l42  | hem daar toe Soodaanige ampele magt en Vermoogens

HTR: NOTI01181/NOTI01181000023.xml#r2l45        | strateurs is gegeeven
GT : 12788_NOTI01181/NOTI01181000023.xml#r2l45  | strateurs is gegeeven.

HTR: NOTI01181/NOTI01181000024.xml#r1l1         | Compareerde verder ten selvendaage meede voor
GT : 12788_NOTI01181/NOTI01181000024.xml#r1l1   | Compareerde verder tenselvendaage meede voor

HTR: NOTI01181/NOTI01181000024.xml#r1l3         | Elexander Creijghton ende Verklaarde de voornoemde
GT : 12788_NOTI01181/NOTI01181000024.xml#r1l3   | Alexander Creijghton ende verklaarde de voornoemde

HTR: NOTI01181/NOTI01181000024.xml#r1l4         | commissie aan te neemen
GT : 12788_NOTI01181/NOTI01181000024.xml#r1l4   | commissie aan te neemen.

HTR: NOTI01181/NOTI01181000024.xml#r1l5         | Gepasseert in Amsteldam in praesentie van
GT : 12788_NOTI01181/NOTI01181000024.xml#r1l5   | Gepasseert in Amsteldam in presentie van

HTR: NOTI01181/NOTI01181000024.xml#r1l8         | A Laakhorst
GT : 12788_NOTI01181/NOTI01181000024.xml#r1l8   | Hk Lankhorst

HTR: NOTI01181/NOTI01181000024.xml#r1l10        | Abm: Bractearius
GT : 12788_NOTI01181/NOTI01181000024.xml#r1l9   | Ab.m Bractetearius

HTR: NOTI01181/NOTI01181000024.xml#r1l11        | J:Ar: Creijghton
GT : 12788_NOTI01181/NOTI01181000024.xml#r1l10  | J: A: Creijghton

HTR: NOTI01181/NOTI01181000025.xml#r2l4         | heb ik Hermanus van Heel Nota
GT : 12788_NOTI01181/NOTI01181000025.xml#r2l4   | heb ik Hermanus van Heel Nota¬

HTR: NOTI01181/NOTI01181000025.xml#r2l11        | sanel Hoheb Joods Koopman
GT : 12788_NOTI01181/NOTI01181000025.xml#r2l11  | Samuel Hoheb Joods Koopman

HTR: NOTI01181/NOTI01181000025.xml#r2l16        | een lot in de 4e: Classis der Genera
GT : 12788_NOTI01181/NOTI01181000025.xml#r2l16  | een lot in de 4e: classis der Genera¬

HTR: NOTI01181/NOTI01181000025.xml#r2l17        | liteijts 20e: Loterij zijnde No. 6652.
GT : 12788_NOTI01181/NOTI01181000025.xml#r2l17  | liteijts 20e: Loterij zijnde No: 6652.

HTR: NOTI01181/NOTI01181000025.xml#r2l20        | Classe aan den Inst: (zoo t zoo is)
GT : 12788_NOTI01181/NOTI01181000025.xml#r2l20  | classe aan den Inst: (zoo t zoo is)

HTR: NOTI01181/NOTI01181000025.xml#r2l22        | Beernink heeft gegeeven een recier
GT : 12788_NOTI01181/NOTI01181000025.xml#r2l22  | Beernink heeft gegeeven een recier,

HTR: NOTI01181/NOTI01181000025.xml#r2l23        | zigk
GT : 12788_NOTI01181/NOTI01181000025.xml#r2l23  | zigh

HTR: NOTI01181/NOTI01181000025.xml#r2l27        | Classe zouden moogen werden getroc¬
GT : 12788_NOTI01181/NOTI01181000025.xml#r2l27  | classe zouden moogen werden getroc¬

HTR: NOTI01181/NOTI01181000025.xml#r2l28        | iken aan den toonder vant billiet
GT : 12788_NOTI01181/NOTI01181000025.xml#r2l28  | ken aan den toonder vant billiet

HTR: NOTI01181/NOTI01181000025.xml#r2l30        | len betaalen
GT : 12788_NOTI01181/NOTI01181000025.xml#r2l30  | len betaalen.

HTR: NOTI01181/NOTI01181000025.xml#r1l1         | No. 2
GT : 12788_NOTI01181/NOTI01181000025.xml#r1l1   | No: 3

HTR: NOTI01181/NOTI01181000025.xml#r1l3         | Gt.
GT : 12788_NOTI01181/NOTI01181000025.xml#r1l3   | G.

HTR: NOTI01181/NOTI01181000026.xml#r2l1         | op heeden aan uw geinsinueerd
GT : 12788_NOTI01181/NOTI01181000026.xml#r3l1   | op heeden aan uw geinsinueerde

HTR: NOTI01181/NOTI01181000026.xml#r2l2         | werd vertoont en aan de grosse
GT : 12788_NOTI01181/NOTI01181000026.xml#r3l2   | werd vertoont en aande grosse

HTR: NOTI01181/NOTI01181000026.xml#r2l5         | met arrest, dan of gij geinsinueerde
GT : 12788_NOTI01181/NOTI01181000026.xml#r3l5   | met arrest, dan of gij Geinsinueerde

HTR: NOTI01181/NOTI01181000026.xml#r2l6         | intentie hebt gehad een ander gedeelte
GT : 12788_NOTI01181/NOTI01181000026.xml#r3l6   | intentie hebt gehad een ander gedeelde

HTR: NOTI01181/NOTI01181000026.xml#r2l10        | bewust is in zijn moet, dat alle de gedeel¬
GT : 12788_NOTI01181/NOTI01181000026.xml#r3l10  | bewust is inzijn moet, dat alle de gedeel¬

HTR: NOTI01181/NOTI01181000026.xml#r2l13        | is verdeelt, geensints door uw geins.
GT : 12788_NOTI01181/NOTI01181000026.xml#r3l12  | is verdeelt, geensints door uw geinsens

HTR: NOTI01181/NOTI01181000026.xml#r2l14        | arrest konden ten minsten niet behoor¬
GT : 12788_NOTI01181/NOTI01181000026.xml#r3l13  | arrest konden ten minstens niet behoor¬

HTR: NOTI01181/NOTI01181000026.xml#r2l16        | Ins: uw geinse: Catagoris antwoord
GT : 12788_NOTI01181/NOTI01181000026.xml#r3l15  | Inst: uw geinse: catagoris antwoord

HTR: NOTI01181/NOTI01181000026.xml#r2l21        | Cat hagoris antwoord van alle kosten
GT : 12788_NOTI01181/NOTI01181000026.xml#r3l20  | cathagoris antwoord van alle kosten

HTR: NOTI01181/NOTI01181000026.xml#r2l22        | schaden en Interessen door het voorn
GT : 12788_NOTI01181/NOTI01181000026.xml#r3l21  | Schaden en Jnteressen door het voorn

HTR: NOTI01181/NOTI01181000026.xml#r2l24        | veroorzaaken.
GT : 12788_NOTI01181/NOTI01181000026.xml#r3l23  | veroorzaaken

HTR: NOTI01181/NOTI01181000026.xml#r2l36        | Wn
GT : 12788_NOTI01181/NOTI01181000026.xml#r3l34  | Wm

HTR: NOTI01181/NOTI01181000026.xml#r2l38        | Abm. Bractear
GT : 12788_NOTI01181/NOTI01181000026.xml#r3l36  | Abm: Bractearius

HTR: NOTI01181/NOTI01181000026.xml#r1l1         | Dak vervolgend in dezelve vierde
GT : 12788_NOTI01181/NOTI01181000026.xml#r1l1   | Dat vervolgens in dezelve vierde

HTR: NOTI01181/NOTI01181000026.xml#r1l2         | Classis der gemelde 23 generaliteijds
GT : 12788_NOTI01181/NOTI01181000026.xml#r1l2   | Classis der gemelde 23 generaliteyds

HTR: NOTI01181/NOTI01181000026.xml#r1l7         | geregtsbode Coster hebt kunnen goed
GT : 12788_NOTI01181/NOTI01181000026.xml#r1l7   | geregtsbode Coster, hebt kunnen goed¬

HTR: NOTI01181/NOTI01181000026.xml#r1l11        | selve 4: Classe in de generaliteijts Lote
GT : 12788_NOTI01181/NOTI01181000026.xml#r1l11  | selve 4e: Classe in de generaliteijts Lote¬

HTR: NOTI01181/NOTI01181000026.xml#r1l12        | reij, op No 6658. zijnde het zelve No.
GT : 12788_NOTI01181/NOTI01181000026.xml#r1l12  | reij, op No. 6658 zijnde het zelve No.

HTR: NOTI01181/NOTI01181000026.xml#r1l15        | Insinuant zijn vierde part in de voors
GT : 12788_NOTI01181/NOTI01181000026.xml#r1l15  | Insinuant zijn vierde part in de voor

HTR: NOTI01181/NOTI01181000026.xml#r1l17        | zoo hier voren gespecificeerde Loo
GT : 12788_NOTI01181/NOTI01181000026.xml#r1l17  | zoo hier voren gespecificeerde Lot

HTR: NOTI01181/NOTI01181000026.xml#r1l18        | te voldoen op pretext van't door Ul.
GT : 12788_NOTI01181/NOTI01181000026.xml#r1l18  | te voldoen op pretext van't door u ed:

HTR: NOTI01181/NOTI01181000026.xml#r1l22        | en getuijgen afvragen of uw geinsens
GT : 12788_NOTI01181/NOTI01181000026.xml#r1l23  | en getuijgen afvragen of uw geinsen

HTR: NOTI01181/NOTI01181000026.xml#r1l23        | meening geweest is het bovengeme¬
GT : 12788_NOTI01181/NOTI01181000026.xml#r1l24  | meenig geweest is het bovengeno

HTR: NOTI01181/NOTI01181000026.xml#r1l25        | de gedeelte in het Lot van den
GT : 12788_NOTI01181/NOTI01181000026.xml#r1l26  | „de gedeelte in het Lot van den

HTR: NOTI01181/NOTI01181000026.xml#r1l26        | Insinuant hourder entoonder
GT : 12788_NOTI01181/NOTI01181000026.xml#r1l27  | Insinuant houder en toonder

HTR: NOTI01181/NOTI01181000026.xml#r1l29        | gemeld in handen heeft en welk recu
GT : 12788_NOTI01181/NOTI01181000026.xml#r1l30  | gemeld in handen heeft en welk recie

HTR: NOTI01181/NOTI01181000027.xml#r1l2         | No
GT : 12788_NOTI01181/NOTI01181000027.xml#r1l2   | No:

HTR: NOTI01181/NOTI01181000027.xml#r1l3         | Bier
GT : 12788_NOTI01181/NOTI01181000027.xml#r1l3   | Bicker

HTR: NOTI01181/NOTI01181000028.xml#r2l1         | 2 Maart, No: 40
