PATTERN	COUNT	TOKENS	COVERAGE	CATEGORY	SIZE	FREQUENCY
binnen deser Steede	11039		33117	0.000443425	ngram	3	0.000350552
Henrick Schaeff Nots	10980		32940	0.000441055	ngram	3	0.000348678
deser stede ,	10829		32487	0.000434989	ngram	3	0.000343883
voor mij Jacob	10747		32241	0.000431695	ngram	3	0.000341279
, ende dat	10593		31779	0.000425509	ngram	3	0.000336389
van de Heer	10563		31689	0.000424304	ngram	3	0.000335436
Groe Nots .	10545		31635	0.000423581	ngram	3	0.000334864
te doen ende	10540		31620	0.00042338	ngram	3	0.000334706
ten versoecke van	10184		30552	0.00040908	ngram	3	0.000323401
te doen ,	10099		30297	0.000405666	ngram	3	0.000320701
als get. hiertoe	9815		29445	0.000394258	ngram	3	0.000311683
Amsterdam ter presentie	9807		29421	0.000393937	ngram	3	0.000311429
Op Huijden den	9729		29187	0.000390803	ngram	3	0.000308952
Jaars seventien hondert	9408		28224	0.000377909	ngram	3	0.000298758
binnen deser Stede	9373		28119	0.000376503	ngram	3	0.000297647
alle het geene	9371		28113	0.000376423	ngram	3	0.000297583
& a :	9330		27990	0.000374776	ngram	3	0.000296281
binnen deser steede	9295		27885	0.00037337	ngram	3	0.00029517
ten lasten van	9080		27240	0.000364734	ngram	3	0.000288342
het voorsz .	8962		26886	0.000359994	ngram	3	0.000284595
op de naem	8845		26535	0.000355294	ngram	3	0.00028088
hy Compt .	8801		26403	0.000353527	ngram	3	0.000279482
Amsteldam in praesentie	8595		25785	0.000345252	ngram	3	0.000272941
des Jaars seventien	8453		25359	0.000339548	ngram	3	0.000268431
een somme van	8418		25254	0.000338142	ngram	3	0.00026732
wel te kennen	8407		25221	0.0003377	ngram	3	0.000266971
woonende binnen deser	8364		25092	0.000335973	ngram	3	0.000265605
der Groe Nots	8325		24975	0.000334406	ngram	3	0.000264367
de naam van	8306		24918	0.000333643	ngram	3	0.000263763
als nae rechte	8261		24783	0.000331835	ngram	3	0.000262334
op de naam	8220		24660	0.000330189	ngram	3	0.000261032
get. hiertoe versocht	8191		24573	0.000329024	ngram	3	0.000260111
hem Compt .	8082		24246	0.000324645	ngram	3	0.00025665
mij Henrick Schaeff	8067		24201	0.000324043	ngram	3	0.000256174
my nots .	7945		23835	0.000319142	ngram	3	0.0002523
Gedaen t '	7939		23817	0.000318901	ngram	3	0.000252109
ten laste van	7934		23802	0.0003187	ngram	3	0.00025195
En verklaarde de	7896		23688	0.000317174	ngram	3	0.000250743
voor mij Henrick	7851		23553	0.000315366	ngram	3	0.000249314
de Winter binnen	7776		23328	0.000312354	ngram	3	0.000246933
ende ten behoeve	7723		23169	0.000310225	ngram	3	0.00024525
hoe waer is	7669		23007	0.000308055	ngram	3	0.000243535
aen de voorn	7668		23004	0.000308015	ngram	3	0.000243503
de voorn :	7569		22707	0.000304039	ngram	3	0.000240359
mij nots .	7545		22635	0.000303075	ngram	3	0.000239597
a : in	7510		22530	0.000301669	ngram	3	0.000238486
& in presentie	7497		22491	0.000301146	ngram	3	0.000238073
, dat de	7428		22284	0.000298375	ngram	3	0.000235882
mij Notaris bekend	7248		21744	0.000291144	ngram	3	0.000230166
: in presentie	7173		21519	0.000288132	ngram	3	0.000227784
allen rechten ende	7172		21516	0.000288092	ngram	3	0.000227752
alles oprecht gedaen	7155		21465	0.000287409	ngram	3	0.000227212
hij Compt .	7152		21456	0.000287288	ngram	3	0.000227117
van de voorn	7067		21201	0.000283874	ngram	3	0.000224418
de voorsz :	7046		21138	0.00028303	ngram	3	0.000223751
de nabesz .	7034		21102	0.000282548	ngram	3	0.00022337
te hebben ,	6924		20772	0.00027813	ngram	3	0.000219877
doende by desen	6882		20646	0.000276443	ngram	3	0.000218543
de naem van	6878		20634	0.000276282	ngram	3	0.000218416
staande op de	6855		20565	0.000275358	ngram	3	0.000217686
doende bij desen	6844		20532	0.000274916	ngram	3	0.000217336
staende op de	6780		20340	0.000272345	ngram	3	0.000215304
getuijgen hier overgestaen	6634		19902	0.000266481	ngram	3	0.000210668
mij Nots .	6622		19866	0.000265999	ngram	3	0.000210287
van dato den	6601		19803	0.000265155	ngram	3	0.00020962
Coopman binnen deser	6598		19794	0.000265035	ngram	3	0.000209524
dirck van der	6564		19692	0.000263669	ngram	3	0.000208445
Nots : &	6499		19497	0.000261058	ngram	3	0.000206381
hij Compt :	6499		19497	0.000261058	ngram	3	0.000206381
voor de Notaris	6495		19485	0.000260897	ngram	3	0.000206254
een somma van	6344		19032	0.000254832	ngram	3	0.000201459
presentie van Jan	6339		19017	0.000254631	ngram	3	0.0002013
vande voorn .	6333		18999	0.00025439	ngram	3	0.000201109
vande voorss .	6315		18945	0.000253667	ngram	3	0.000200538
als get. hier	6303		18909	0.000253185	ngram	3	0.000200157
subjectie als nae	6270		18810	0.000251859	ngram	3	0.000199109
doen ende laten	6267		18801	0.000251739	ngram	3	0.000199013
vorderen ende ontfangen	6250		18750	0.000251056	ngram	3	0.000198473
aen ende ten	6211		18633	0.000249489	ngram	3	0.000197235
t Amsterdam ter	6199		18597	0.000249007	ngram	3	0.000196854
woonende binnen dese	6197		18591	0.000248927	ngram	3	0.00019679
ten huijse van	6155		18465	0.00024724	ngram	3	0.000195457
aan mij Notaris	6154		18462	0.0002472	ngram	3	0.000195425
ende subjectie als	6142		18426	0.000246718	ngram	3	0.000195044
en goederen als	6136		18408	0.000246476	ngram	3	0.000194853
, dat hij	6132		18396	0.000246316	ngram	3	0.000194726
van allen rechten	6106		18318	0.000245271	ngram	3	0.000193901
Op huyden den	6067		18201	0.000243705	ngram	3	0.000192662
den Compt .	6040		18120	0.00024262	ngram	3	0.000191805
en ten behoeven	5958		17874	0.000239326	ngram	3	0.000189201
soude mogen werden	5911		17733	0.000237438	ngram	3	0.000187708
ende mogen doen	5910		17730	0.000237398	ngram	3	0.000187677
voor mij dirck	5899		17697	0.000236956	ngram	3	0.000187327
bij deesen te	5895		17685	0.000236796	ngram	3	0.0001872
den reqt .	5853		17559	0.000235109	ngram	3	0.000185866
rechten ende rechteren	5815		17445	0.000233582	ngram	3	0.00018466
compareerde voor mij	5791		17373	0.000232618	ngram	3	0.000183898
, de somme	5765		17295	0.000231574	ngram	3	0.000183072
behoeven van de	5731		17193	0.000230208	ngram	3	0.000181992
: & a	5708		17124	0.000229284	ngram	3	0.000181262
& a. in	5704		17112	0.000229124	ngram	3	0.000181135
bij desen ,	5678		17034	0.000228079	ngram	3	0.000180309
den voorn .	5613		16839	0.000225468	ngram	3	0.000178245
get. hier toe	5598		16794	0.000224866	ngram	3	0.000177769
op ende jegens	5573		16719	0.000223861	ngram	3	0.000176975
ende van waerden	5522		16566	0.000221813	ngram	3	0.000175355
, als getuijgen	5454		16362	0.000219081	ngram	3	0.000173196
als get. etc.	5452		16356	0.000219001	ngram	3	0.000173132
dat de voorsz	5440		16320	0.000218519	ngram	3	0.000172751
den voorsz .	5416		16248	0.000217555	ngram	3	0.000171989
ende machtich gemaeckt	5406		16218	0.000217153	ngram	3	0.000171672
van waerden te	5273		15819	0.000211811	ngram	3	0.000167448
ende doen houden	5262		15786	0.000211369	ngram	3	0.000167099
, ende de	5251		15753	0.000210927	ngram	3	0.000166749
van dien ,	5227		15681	0.000209963	ngram	3	0.000165987
den voorss .	5220		15660	0.000209682	ngram	3	0.000165765
compareerden voor mij	5107		15321	0.000205143	ngram	3	0.000162177
dese stad en	5014		15042	0.000201407	ngram	3	0.000159223
guldens capitaal ,	5000		15000	0.000200845	ngram	3	0.000158779
vast ende van	4987		14961	0.000200322	ngram	3	0.000158366
sijn voorsz .	4980		14940	0.000200041	ngram	3	0.000158144
: - :	4977		14931	0.000199921	ngram	3	0.000158048
als naar Rechten	4919		14757	0.000197591	ngram	3	0.000156207
onder presentatie van	4853		14559	0.00019494	ngram	3	0.000154111
te geven ende	4810		14430	0.000193213	ngram	3	0.000152745
onder verband van	4809		14427	0.000193172	ngram	3	0.000152713
sulx doende bij	4805		14415	0.000193012	ngram	3	0.000152586
onder het verbandt	4804		14412	0.000192971	ngram	3	0.000152555
en getuijgen binnen	4764		14292	0.000191365	ngram	3	0.000151284
haer voorsz .	4752		14256	0.000190883	ngram	3	0.000150903
mits desen ,	4726		14178	0.000189838	ngram	3	0.000150078
, en dat	4704		14112	0.000188955	ngram	3	0.000149379
noch alles te	4675		14025	0.00018779	ngram	3	0.000148458
, onder verband	4673		14019	0.000187709	ngram	3	0.000148395
Op Heden den	4665		13995	0.000187388	ngram	3	0.000148141
voor mij Dirk	4638		13914	0.000186303	ngram	3	0.000147283
voor soo veel	4634		13902	0.000186143	ngram	3	0.000147156
ter somme van	4630		13890	0.000185982	ngram	3	0.000147029
In dienst vande	4628		13884	0.000185902	ngram	3	0.000146966
verclaert ende geattesteert	4623		13869	0.000185701	ngram	3	0.000146807
in plaetse van	4617		13851	0.00018546	ngram	3	0.000146616
van d '	4610		13830	0.000185179	ngram	3	0.000146394
meerder te hebben	4601		13803	0.000184817	ngram	3	0.000146108
ten Comptoire van	4600		13800	0.000184777	ngram	3	0.000146076
t Amstm .	4579		13737	0.000183933	ngram	3	0.00014541
mij Notaris en	4574		13722	0.000183733	ngram	3	0.000145251
J : deWinter	4565		13695	0.000183371	ngram	3	0.000144965
t ' Amstm	4532		13596	0.000182046	ngram	3	0.000143917
sulx doende by	4514		13542	0.000181323	ngram	3	0.000143345
' Amstm .	4509		13527	0.000181122	ngram	3	0.000143187
met den eersten	4482		13446	0.000180037	ngram	3	0.000142329
het verbandt ende	4482		13446	0.000180037	ngram	3	0.000142329
deser Stede .	4463		13389	0.000179274	ngram	3	0.000141726
aan en ten	4440		13320	0.00017835	ngram	3	0.000140996
te doen en	4432		13296	0.000178029	ngram	3	0.000140742
te kennen gevende	4422		13266	0.000177627	ngram	3	0.000140424
voorts in desen	4414		13242	0.000177306	ngram	3	0.00014017
amsterdam ter presentie	4414		13242	0.000177306	ngram	3	0.00014017
Aldus gedaan binnen	4410		13230	0.000177145	ngram	3	0.000140043
a. in presentie	4390		13170	0.000176342	ngram	3	0.000139408
voorts van alle	4377		13131	0.000175819	ngram	3	0.000138995
welcke voorsz .	4365		13095	0.000175337	ngram	3	0.000138614
als na rechte	4362		13086	0.000175217	ngram	3	0.000138519
persoon en goederen	4361		13083	0.000175177	ngram	3	0.000138487
ter voorss .	4346		13038	0.000174574	ngram	3	0.000138011
dat het selve	4345		13035	0.000174534	ngram	3	0.000137979
dat hij de	4336		13008	0.000174172	ngram	3	0.000137693
dese stad gepasseert	4333		12999	0.000174052	ngram	3	0.000137598
, Alles oprecht	4305		12915	0.000172927	ngram	3	0.000136709
regta fo .	4302		12906	0.000172807	ngram	3	0.000136613
voor hem ende	4283		12849	0.000172043	ngram	3	0.00013601
gedaen t Amsterdam	4283		12849	0.000172043	ngram	3	0.00013601
ten allen tijde	4268		12804	0.000171441	ngram	3	0.000135534
verbandt ende subjectie	4257		12771	0.000170999	ngram	3	0.000135184
getuijgen binnen dese	4256		12768	0.000170959	ngram	3	0.000135153
daer ende soo	4251		12753	0.000170758	ngram	3	0.000134994
naeme ende van	4248		12744	0.000170638	ngram	3	0.000134898
dese stad ,	4242		12726	0.000170397	ngram	3	0.000134708
van Holland en	4223		12669	0.000169633	ngram	3	0.000134105
mij dirck van	4194		12582	0.000168468	ngram	3	0.000133184
in praesentie van	4191		12573	0.000168348	ngram	3	0.000133088
ter saecke van	4190		12570	0.000168308	ngram	3	0.000133057
mij Dirck vander	4179		12537	0.000167866	ngram	3	0.000132707
opgedragen te hebben	4177		12531	0.000167786	ngram	3	0.000132644
Groe nots .	4164		12492	0.000167263	ngram	3	0.000132231
onder verband als	4157		12471	0.000166982	ngram	3	0.000132009
alle deselve te	4156		12468	0.000166942	ngram	3	0.000131977
mij Notario bekent	4152		12456	0.000166781	ngram	3	0.00013185
de nabesz :	4148		12444	0.000166621	ngram	3	0.000131723
den persoon van	4131		12393	0.000165938	ngram	3	0.000131183
geven ende voor	4124		12372	0.000165657	ngram	3	0.000130961
, dat sij	4114		12342	0.000165255	ngram	3	0.000130643
of guldens capitaal	4109		12327	0.000165054	ngram	3	0.000130484
hiertoe versocht .	4096		12288	0.000164532	ngram	3	0.000130072
t amst .	4089		12267	0.000164251	ngram	3	0.000129849
wille ende geliefte	4086		12258	0.00016413	ngram	3	0.000129754
te kennen ende	4078		12234	0.000163809	ngram	3	0.0001295
, Ter presentie	4076		12228	0.000163729	ngram	3	0.000129436
in cas van	4076		12228	0.000163729	ngram	3	0.000129436
doen houden alle	4074		12222	0.000163648	ngram	3	0.000129373
ende den selven	4072		12216	0.000163568	ngram	3	0.000129309
deselve stellende ten	4065		12195	0.000163287	ngram	3	0.000129087
t amsterdam ter	4049		12147	0.000162644	ngram	3	0.000128579
de Heer Jan	4037		12111	0.000162162	ngram	3	0.000128198
Notaris en getuijgen	4034		12102	0.000162041	ngram	3	0.000128103
eerste ende gereetste	4013		12039	0.000161198	ngram	3	0.000127436
ende noch te	4005		12015	0.000160877	ngram	3	0.000127182
in den vollen	3992		11976	0.000160354	ngram	3	0.000126769
En bekende de	3983		11949	0.000159993	ngram	3	0.000126483
te hebben doen	3982		11946	0.000159953	ngram	3	0.000126451
te wesen aen	3978		11934	0.000159792	ngram	3	0.000126324
te sijn den	3976		11928	0.000159712	ngram	3	0.000126261
, ende van	3968		11904	0.00015939	ngram	3	0.000126007
waer is .	3953		11859	0.000158788	ngram	3	0.000125531
, als mede	3949		11847	0.000158627	ngram	3	0.000125403
van dien soo	3939		11817	0.000158225	ngram	3	0.000125086
deser Steede mij	3923		11769	0.000157583	ngram	3	0.000124578
, en de	3918		11754	0.000157382	ngram	3	0.000124419
te Amsterdam residerende	3897		11691	0.000156538	ngram	3	0.000123752
capitaal , gedateert	3883		11649	0.000155976	ngram	3	0.000123308
houdende ten laste	3880		11640	0.000155855	ngram	3	0.000123212
te sullen houden	3878		11634	0.000155775	ngram	3	0.000123149
ten Laste van	3870		11610	0.000155454	ngram	3	0.000122895
, ter presentie	3867		11601	0.000155333	ngram	3	0.0001228
alle op en	3852		11556	0.000154731	ngram	3	0.000122323
Gedaen t Amstm	3851		11553	0.000154691	ngram	3	0.000122291
ter andere zijde	3839		11517	0.000154208	ngram	3	0.00012191
werden onder het	3834		11502	0.000154008	ngram	3	0.000121752
desen aen ende	3818		11454	0.000153365	ngram	3	0.000121243
houden ende doen	3816		11448	0.000153285	ngram	3	0.00012118
van alle Costen	3808		11424	0.000152963	ngram	3	0.000120926
voor redenen van	3807		11421	0.000152923	ngram	3	0.000120894
buijtgelden bij hem	3786		11358	0.00015208	ngram	3	0.000120227
van sa :	3781		11343	0.000151879	ngram	3	0.000120069
: van der	3779		11337	0.000151798	ngram	3	0.000120005
bij desen aen	3775		11325	0.000151638	ngram	3	0.000119878
: deWinter N.P.	3774		11322	0.000151598	ngram	3	0.000119846
omme alle deselve	3761		11283	0.000151075	ngram	3	0.000119433
hebben doen ende	3756		11268	0.000150874	ngram	3	0.000119275
ten overstaan van	3747		11241	0.000150513	ngram	3	0.000118989
aende voorn .	3736		11208	0.000150071	ngram	3	0.00011864
ende te niet	3734		11202	0.000149991	ngram	3	0.000118576
te rade werden	3732		11196	0.00014991	ngram	3	0.000118512
ten bedwangh van	3728		11184	0.00014975	ngram	3	0.000118385
: 10 :	3719		11157	0.000149388	ngram	3	0.0001181
ende van wegen	3705		11115	0.000148826	ngram	3	0.000117655
sijn persoon ende	3701		11103	0.000148665	ngram	3	0.000117528
goederen als naar	3701		11103	0.000148665	ngram	3	0.000117528
bedwangh van allen	3700		11100	0.000148625	ngram	3	0.000117496
voor mij Philip	3665		10995	0.000147219	ngram	3	0.000116385
present sijnde soude	3652		10956	0.000146697	ngram	3	0.000115972
bij hem Compt	3643		10929	0.000146335	ngram	3	0.000115686
, als get.	3624		10872	0.000145572	ngram	3	0.000115083
1e: get :	3604		10812	0.000144769	ngram	3	0.000114448
testament op den	3601		10803	0.000144648	ngram	3	0.000114352
hondert gls .	3601		10803	0.000144648	ngram	3	0.000114352
, bij den	3594		10782	0.000144367	ngram	3	0.00011413
voor mij Notaris	3558		10674	0.000142921	ngram	3	0.000112987
soude mogen comen	3555		10665	0.000142801	ngram	3	0.000112892
vande nabesz :	3553		10659	0.00014272	ngram	3	0.000112828
daer aen geen	3551		10653	0.00014264	ngram	3	0.000112765
ende in vollen	3550		10650	0.0001426	ngram	3	0.000112733
, die hij	3544		10632	0.000142359	ngram	3	0.000112542
quod attestor rogatus	3535		10605	0.000141997	ngram	3	0.000112257
ende bet .	3525		10575	0.000141595	ngram	3	0.000111939
die verclaerden den	3524		10572	0.000141555	ngram	3	0.000111907
binnen Amsterdam ter	3524		10572	0.000141555	ngram	3	0.000111907
gedaan binnen Amsterdam	3520		10560	0.000141395	ngram	3	0.00011178
Een dito van	3518		10554	0.000141314	ngram	3	0.000111717
als getuijgen hiertoe	3512		10536	0.000141073	ngram	3	0.000111526
ende die ter	3503		10509	0.000140712	ngram	3	0.00011124
ende voorts van	3502		10506	0.000140672	ngram	3	0.000111209
presentie van Gerrit	3496		10488	0.000140431	ngram	3	0.000111018
vander Groe Nots	3490		10470	0.00014019	ngram	3	0.000110828
vander groe Nots	3490		10470	0.00014019	ngram	3	0.000110828
in qualite voorsz	3485		10455	0.000139989	ngram	3	0.000110669
een ieder van	3475		10425	0.000139587	ngram	3	0.000110351
die ter voorss	3473		10419	0.000139507	ngram	3	0.000110288
get. in dato	3457		10371	0.000138864	ngram	3	0.00010978
dat hy get	3454		10362	0.000138743	ngram	3	0.000109684
voor alle op	3453		10359	0.000138703	ngram	3	0.000109653
van woort tot	3453		10359	0.000138703	ngram	3	0.000109653
ende tot dien	3445		10335	0.000138382	ngram	3	0.000109399
tot dien eijnde	3444		10332	0.000138342	ngram	3	0.000109367
deser Stede ,	3444		10332	0.000138342	ngram	3	0.000109367
alle de goederen	3423		10269	0.000137498	ngram	3	0.0001087
by ware woorden	3413		10239	0.000137097	ngram	3	0.000108382
die geene die	3390		10170	0.000136173	ngram	3	0.000107652
, gedateert den	3386		10158	0.000136012	ngram	3	0.000107525
verbant als na	3385		10155	0.000135972	ngram	3	0.000107493
uijtte eerste ende	3375		10125	0.00013557	ngram	3	0.000107176
genoten ende ontfangen	3370		10110	0.000135369	ngram	3	0.000107017
in sijn leven	3355		10065	0.000134767	ngram	3	0.000106541
ende laten wes	3353		10059	0.000134686	ngram	3	0.000106477
verricht sal werden	3350		10050	0.000134566	ngram	3	0.000106382
in desen gedaen	3345		10035	0.000134365	ngram	3	0.000106223
te hebben sulx	3344		10032	0.000134325	ngram	3	0.000106191
soude mogen wesen	3344		10032	0.000134325	ngram	3	0.000106191
daer mede doen	3343		10029	0.000134285	ngram	3	0.00010616
ende dat hij	3342		10026	0.000134245	ngram	3	0.000106128
als getuijgen .	3337		10011	0.000134044	ngram	3	0.000105969
als vooren ,	3334		10002	0.000133923	ngram	3	0.000105874
te hebben ontvangen	3329		9987	0.000133722	ngram	3	0.000105715
verband als naar	3322		9966	0.000133441	ngram	3	0.000105493
voor allen heeren	3317		9951	0.00013324	ngram	3	0.000105334
na te laten	3317		9951	0.00013324	ngram	3	0.000105334
ende geleden ende	3313		9939	0.00013308	ngram	3	0.000105207
ieder van hen	3312		9936	0.000133039	ngram	3	0.000105175
wel hebbende ende	3309		9927	0.000132919	ngram	3	0.00010508
te stellen en	3307		9921	0.000132839	ngram	3	0.000105016
van alle de	3304		9912	0.000132718	ngram	3	0.000104921
in eeniger manieren	3298		9894	0.000132477	ngram	3	0.00010473
dat de voorn	3282		9846	0.000131834	ngram	3	0.000104222
groe Nots P.	3274		9822	0.000131513	ngram	3	0.000103968
ende uijterste wille	3270		9810	0.000131352	ngram	3	0.000103841
ende voorts in	3262		9786	0.000131031	ngram	3	0.000103587
ende opgedragen te	3259		9777	0.000130911	ngram	3	0.000103492
mogen comen te	3256		9768	0.00013079	ngram	3	0.000103397
sal werden ,	3253		9759	0.00013067	ngram	3	0.000103301
Alles oprecht .	3249		9747	0.000130509	ngram	3	0.000103174
de langstlevende van	3248		9744	0.000130469	ngram	3	0.000103143
gedaen t amst	3244		9732	0.000130308	ngram	3	0.000103016
betaelt te sijn	3236		9708	0.000129987	ngram	3	0.000102762
gedaen t amsterdam	3235		9705	0.000129946	ngram	3	0.00010273
mij Nots :	3223		9669	0.000129464	ngram	3	0.000102349
En verklaarden de	3221		9663	0.000129384	ngram	3	0.000102285
te ageren ende	3213		9639	0.000129063	ngram	3	0.000102031
waerden te houden	3208		9624	0.000128862	ngram	3	0.000101872
ontfangen te hebben	3197		9591	0.00012842	ngram	3	0.000101523
Jaars seeventien hondert	3190		9570	0.000128139	ngram	3	0.000101301
te sullen doen	3186		9558	0.000127978	ngram	3	0.000101174
binnen Amstelredamme residerende	3185		9555	0.000127938	ngram	3	0.000101142
te sijn ,	3180		9540	0.000127737	ngram	3	0.000100983
uijterste wille ,	3164		9492	0.000127094	ngram	3	0.000100475
, dat het	3162		9486	0.000127014	ngram	3	0.000100412
acte op den	3160		9480	0.000126934	ngram	3	0.000100348
als daar op	3155		9465	0.000126733	ngram	3	0.000100189
daer van te	3142		9426	0.000126211	ngram	3	9.97766e-05
des doots ,	3129		9387	0.000125689	ngram	3	9.93638e-05
woort tot woort	3128		9384	0.000125648	ngram	3	9.9332e-05
etc. Gedaen t	3126		9378	0.000125568	ngram	3	9.92685e-05
ende buijtgelden bij	3126		9378	0.000125568	ngram	3	9.92685e-05
t ' Amsterdam	3125		9375	0.000125528	ngram	3	9.92367e-05
van de Heeren	3122		9366	0.000125407	ngram	3	9.91415e-05
verklaarde de comparant	3118		9354	0.000125247	ngram	3	9.90145e-05
qualite voorsz .	3114		9342	0.000125086	ngram	3	9.88874e-05
ende verricht sal	3111		9333	0.000124966	ngram	3	9.87922e-05
te wesen ,	3100		9300	0.000124524	ngram	3	9.84429e-05
alles opregt gedaen	3100		9300	0.000124524	ngram	3	9.84429e-05
ende allen anderen	3099		9297	0.000124483	ngram	3	9.84111e-05
in desen soo	3098		9294	0.000124443	ngram	3	9.83793e-05
Dirk van der	3098		9294	0.000124443	ngram	3	9.83793e-05
gedaen ende geleden	3090		9270	0.000124122	ngram	3	9.81253e-05
ter andere sijde	3089		9267	0.000124082	ngram	3	9.80935e-05
ende gereetste gagie	3088		9264	0.000124042	ngram	3	9.80618e-05
Een obligatie van	3085		9255	0.000123921	ngram	3	9.79665e-05
tot de volle	3082		9246	0.000123801	ngram	3	9.78712e-05
hebben sulx doende	3079		9237	0.00012368	ngram	3	9.7776e-05
lasten van Holland	3076		9228	0.00012356	ngram	3	9.76807e-05
Dirck vander Groe	3071		9213	0.000123359	ngram	3	9.75219e-05
van de gemelte	3069		9207	0.000123278	ngram	3	9.74584e-05
mogen doen ,	3064		9192	0.000123078	ngram	3	9.72996e-05
Groe Nots :	3063		9189	0.000123037	ngram	3	9.72679e-05
te sullen vrijen	3061		9183	0.000122957	ngram	3	9.72044e-05
der Groe nots	3044		9132	0.000122274	ngram	3	9.66645e-05
den hove van	3040		9120	0.000122114	ngram	3	9.65375e-05
geconstitueert ende machtich	3033		9099	0.000121832	ngram	3	9.63152e-05
, 't geen	3018		9054	0.00012123	ngram	3	9.58389e-05
woorden , in	3016		9048	0.000121149	ngram	3	9.57754e-05
